Heliostat ID,Pos-x,Pos-y,Pos-z,Aim-x,Aim-y,Aim-z,Track-x,Track-y,Track-z,Reflectivity,Soiling,Total eff,Cosine eff,Attenuation,Blocking,Shading,Intercept eff.,Annual efficiency,
1357,174.07,396.32,0.00,3.42,7.78,150.00,-0.243,-0.610,0.754,0.9500,0.9500,0.7454,0.8700,0.9493,1.0000,1.0000,1.0000,0.6988,
1529,-128.29,453.14,0.00,-2.32,8.18,150.00,0.125,-0.649,0.751,0.9500,0.9500,0.7323,0.8577,0.9460,1.0000,1.0000,1.0000,0.6985,
1447,138.03,430.31,0.00,2.60,8.09,150.00,-0.192,-0.634,0.749,0.9500,0.9500,0.7419,0.8674,0.9477,1.0000,1.0000,1.0000,0.6994,
894,-59.68,342.65,0.00,-1.46,8.37,150.00,0.064,-0.621,0.782,0.9500,0.9500,0.7236,0.8852,0.9566,0.9469,1.0000,1.0000,0.7081,
690,-220.33,207.71,0.00,-6.19,5.83,150.00,0.345,-0.461,0.818,0.9500,0.9500,0.7598,0.8765,0.9604,1.0000,1.0000,1.0000,0.6979,
1530,-96.76,460.91,0.00,-1.75,8.32,150.00,0.088,-0.656,0.749,0.9500,0.9500,0.7338,0.8595,0.9460,1.0000,1.0000,1.0000,0.6990,
9,-111.05,-18.00,0.00,-8.39,-1.36,150.00,0.276,-0.057,0.959,0.9500,0.9500,0.8256,0.9386,0.9747,1.0000,1.0000,1.0000,0.7047,
980,-169.36,323.08,0.00,-3.95,7.53,150.00,0.220,-0.581,0.784,0.9500,0.9500,0.7403,0.8724,0.9552,0.9844,1.0000,1.0000,0.7040,
1437,-167.35,419.78,0.00,-3.15,7.90,150.00,0.179,-0.628,0.757,0.9500,0.9500,0.7338,0.8579,0.9477,1.0000,1.0000,1.0000,0.6982,
348,189.95,107.87,0.00,7.39,4.20,150.00,-0.410,-0.327,0.851,0.9500,0.9500,0.8001,0.9165,0.9673,1.0000,1.0000,1.0000,0.7002,
1446,108.04,438.80,0.00,2.03,8.25,150.00,-0.156,-0.644,0.749,0.9500,0.9500,0.7421,0.8676,0.9477,1.0000,1.0000,1.0000,0.7000,
1267,179.98,374.17,0.00,3.68,7.66,150.00,-0.258,-0.597,0.759,0.9500,0.9500,0.7491,0.8729,0.9508,1.0000,1.0000,1.0000,0.6994,
1070,-210.89,317.51,0.00,-4.70,7.08,150.00,0.271,-0.561,0.782,0.9500,0.9500,0.7437,0.8647,0.9537,0.9991,1.0000,1.0000,0.7020,
1535,64.76,466.48,0.00,1.17,8.42,150.00,-0.101,-0.659,0.745,0.9500,0.9500,0.7380,0.8643,0.9460,1.0000,1.0000,1.0000,0.7005,
217,164.58,78.72,0.00,7.67,3.67,150.00,-0.391,-0.282,0.876,0.9500,0.9500,0.8153,0.9312,0.9700,1.0000,1.0000,1.0000,0.7007,
752,-219.17,228.78,0.00,-5.88,6.14,150.00,0.330,-0.484,0.810,0.9500,0.9500,0.7570,0.8744,0.9592,1.0000,1.0000,1.0000,0.6993,
128,144.03,26.46,0.00,8.36,1.54,150.00,-0.377,-0.170,0.911,0.9500,0.9500,0.8268,0.9419,0.9726,1.0000,1.0000,1.0000,0.7036,
289,-186.23,89.08,0.00,-7.67,3.67,150.00,0.374,-0.300,0.878,0.9500,0.9500,0.7883,0.9021,0.9682,1.0000,1.0000,1.0000,0.6977,
1645,47.91,489.16,0.00,0.83,8.46,150.00,-0.080,-0.667,0.741,0.9500,0.9500,0.7337,0.8609,0.9443,1.0000,1.0000,1.0000,0.7024,
